id;customer_number;toatl_asset;cmp_flag;update_date;mtg_14_family_amt;total_rfha;mva_percentage;capital_compliant_level;watch_status;credit_score;watch_status_effective_date;total_eligibile_collateral_amount;security_eligibile_collateral_amount
1;5 Abacus Federal Services Bank;341795000.00;Yes;2020-01-14;187816363.64;229338000.00;80.00;WELL;Pass with Care;3.96;2020-01-14;285588000.00;0.00
2;7 Amboy Bank;2296454000.00;Yes;2020-01-13;345846363.64;801836000.00;80.00;WELL;Pass;5.52;2020-01-13;401681000.00;101060000.00
3;9 Amalgamated Bank;4969306000.00;Yes;2020-01-14;1166938181.82;2671145000.00;80.00;WELL;Special Mention;6.03;2020-01-14;463822000.00;747196000.00
4;11 American Communty Bank;214207000.00;Yes;2020-01-14;34770909.09;65774000.00;80.00;WELL;Pass with Care;3.83;2020-01-13;173930000.00;8232000.00
5;65 BNB Bank;4714355000.00;Yes;2020-01-13;540434545.45;1711186000.00;80.00;WELL;Pass with Care;4.55;2020-01-13;291600000.00;649349000.00
6;66 Blue Foundry Bank;1722859000.00;Yes;2020-01-14;758441818.18;1303531000.00;80.00;WELL;Pass;3.78;2020-01-14;473561000.00;55801000.00
7;117 Mariner's Bank;421346000.00;Yes;2020-01-13;63490000.00;111219000.00;80.00;WELL;Special Mention;6.13;2020-01-14;285721000.00;4201000.00
8;127 PCSB Bank;1636970000.00;Yes;2020-01-14;270161818.18;609963000.00;80.00;WELL;Pass with Care;4.33;2020-01-14;361498000.00;375653000.00
9;130 Emigrant Bank;5641220000.00;Yes;2020-01-14;825731818.18;1996374000.00;80.00;WELL;Pass;5.64;2020-01-14;499046000.00;507452000.00
10;171 Generations Bank;315156000.00;Yes;2020-01-14;131417272.73;154862000.00;80.00;WELL;Special Mention;6.39;2020-01-13;181307000.00;2589000.00
